vehicle_id,plate,type_code,type_name,category,brand,model,seat_capacity,rate_usd_day,prod_year,status,created_at,updated_at
VHC00001,B 6018 DMV,SUV_LUX,SUV Luxury,SUV,Toyota,Land Cruiser,5,191.87,2024,Active,2021-03-19 21:46:04,2021-08-14 09:02:19
VHC00002,B 8301 PPC,SUV_LUX,SUV Luxury,SUV,Toyota,Land Cruiser,5,169.97,2018,Active,2021-11-05 13:42:18,2021-11-05 13:42:18
VHC00003,B 8609 DHX,SDN_MID,Sedan Mid-Size,Sedan,Honda,Civic,4,49.81,2018,Maintenance,2022-02-02 17:04:18,2025-04-05 16:25:16
VHC00004,B 9099 NBH,SDN_ECO,Sedan Economy,Sedan,Toyota,Vios,4,39.58,2019,Active,2021-03-23 22:29:46,2021-03-23 22:29:46
VHC00005,B 2462 UDV,MPV_STD,MPV Standard,MPV,Toyota,Avanza,7,40.63,2020,Active,2019-10-23 19:39:04,2026-03-18 23:32:47
VHC00006,B 2199 XGM,MPV_STD,MPV Standard,MPV,Toyota,Avanza,7,37.65,2018,Active,2022-03-15 08:34:36,2024-04-15 06:29:00
VHC00007,B 8190 WGS,SDN_MID,Sedan Mid-Size,Sedan,Honda,Civic,4,56.29,2023,Active,2022-06-21 15:36:09,2022-06-21 15:36:09
VHC00008,B 6579 RMK,SUV_LUX,SUV Luxury,SUV,Toyota,Land Cruiser,5,162.94,2024,Active,2021-07-17 10:23:38,2022-12-07 23:28:49
VHC00009,B 2319 KTS,MPV_PRE,MPV Premium,MPV,Toyota,Alphard,7,111.93,2023,Active,2020-09-06 16:13:47,2024-07-13 09:49:07
VHC00010,B 7491 DTP,SDN_MID,Sedan Mid-Size,Sedan,Honda,Civic,4,47.36,2020,Active,2021-05-06 03:13:42,2021-05-06 03:13:42
VHC00011,B 5276 BYC,ELC_STD,Electric Sedan,Electric,Hyundai,Ioniq 6,4,74.81,2022,Active,2022-09-30 03:43:38,2022-09-30 03:43:38
VHC00012,B 9555 WSV,SUV_LUX,SUV Luxury,SUV,Toyota,Land Cruiser,5,155.41,2024,Active,2020-12-18 12:17:19,2024-03-19 01:09:17
VHC00013,B 1147 ZYC,SDN_MID,Sedan Mid-Size,Sedan,Honda,Civic,4,63.89,2018,Active,2021-08-28 20:34:54,2022-01-08 01:04:53
VHC00014,B 4974 ZNY,SUV_STD,SUV Standard,SUV,Honda,CR-V,5,75.33,2023,Active,2022-10-27 22:43:17,2024-05-31 01:31:51
VHC00015,B 7529 DSB,SUV_LUX,SUV Luxury,SUV,Toyota,Land Cruiser,5,136.35,2018,Active,2021-08-03 20:42:06,2025-01-05 19:18:27
VHC00016,B 4236 NSC,MPV_PRE,MPV Premium,MPV,Toyota,Alphard,7,144.88,2021,Maintenance,2019-09-22 14:00:29,2024-03-08 12:49:36
VHC00017,B 6842 PUJ,ELC_STD,Electric Sedan,Electric,Hyundai,Ioniq 6,4,65.26,2019,Active,2021-07-08 01:21:17,2023-01-28 14:43:13
VHC00018,B 5632 CFE,SUV_STD,SUV Standard,SUV,Honda,CR-V,5,76.87,2019,Active,2021-01-04 14:03:09,2023-02-22 06:01:10
VHC00019,B 3079 FJK,MPV_STD,MPV Standard,MPV,Toyota,Avanza,7,38.42,2021,Active,2022-09-10 07:39:39,2022-09-10 07:39:39
VHC00020,B 2685 WVL,MPV_STD,MPV Standard,MPV,Toyota,Avanza,7,40.2,2022,Active,2019-01-09 17:55:56,2019-01-09 17:55:56
VHC00021,B 8907 YUN,SUV_LUX,SUV Luxury,SUV,Toyota,Land Cruiser,5,192.19,2023,Active,2022-11-15 02:36:03,2026-05-02 07:30:30
VHC00022,B 6176 BGC,SDN_ECO,Sedan Economy,Sedan,Toyota,Vios,4,37.89,2021,Active,2023-05-17 01:46:57,2025-07-28 16:08:34
VHC00023,B 7215 WBD,SDN_MID,Sedan Mid-Size,Sedan,Honda,Civic,4,54.63,2018,Inactive,2021-03-31 20:05:25,2021-03-31 20:05:25
VHC00024,B 2815 WAC,ELC_STD,Electric Sedan,Electric,Hyundai,Ioniq 6,4,67.54,2018,Active,2020-11-27 19:09:24,2021-06-24 11:35:39
VHC00025,B 9624 MWM,SDN_MID,Sedan Mid-Size,Sedan,Honda,Civic,4,63.98,2024,Active,2022-06-10 16:36:30,2022-06-10 16:36:30
VHC00026,B 1777 SKC,VAN_STD,Minivan Standard,Van,Toyota,HiAce,12,76.75,2021,Active,2020-05-31 02:22:01,2024-06-30 06:14:45
VHC00027,B 5472 TAG,ELC_STD,Electric Sedan,Electric,Hyundai,Ioniq 6,4,90.81,2018,Active,2021-08-12 01:26:05,2023-05-12 21:17:13
VHC00028,B 2808 KXC,SUV_LUX,SUV Luxury,SUV,Toyota,Land Cruiser,5,179.42,2022,Active,2021-09-07 21:48:44,2022-08-03 09:44:58
VHC00029,B 8525 HUU,SUV_LUX,SUV Luxury,SUV,Toyota,Land Cruiser,5,143.8,2022,Active,2022-01-17 01:33:23,2026-04-18 01:16:52
VHC00030,B 5393 HNH,SDN_MID,Sedan Mid-Size,Sedan,Honda,Civic,4,58.92,2020,Active,2020-06-18 12:20:32,2022-05-03 14:27:17
VHC00031,B 7500 JSJ,SUV_LUX,SUV Luxury,SUV,Toyota,Land Cruiser,5,173.19,2024,Active,2022-06-09 23:43:20,2023-07-13 23:31:40
