aircraft_key,registration_number,aircraft_type_code,aircraft_type_name,manufacturer,body_type,seat_capacity,year_manufactured,operating_airline,engine_type,max_range_km,fuel_capacity_liters,in_service
1,PK-QJI59,B737,Boeing 737-800,Boeing,Narrow,166,2018,Garuda Indonesia,Turbofan,13000,45000,True
2,PK-ZIZ51,B738,Boeing 737 MAX 8,Boeing,Narrow,175,2018,Garuda Indonesia,Turbofan,7000,20000,True
3,PK-PYF36,A321,Airbus A321,Airbus,Narrow,218,2014,Garuda Indonesia,Turbofan,13000,145000,True
4,PK-QDC86,B789,Boeing 787-9,Boeing,Wide,291,2012,Garuda Indonesia,Turbofan,14000,45000,True
5,PK-UAG23,B738,Boeing 737 MAX 8,Boeing,Narrow,172,2021,Garuda Indonesia,Turbofan,7000,20000,True
6,PK-KYN88,ATR72,ATR 72-600,ATR,Turboprop,77,2011,Garuda Indonesia,Turboprop,7000,145000,True
7,PK-YCS81,A320,Airbus A320,Airbus,Narrow,184,2009,Garuda Indonesia,Turbofan,7000,26000,True
8,PK-PRC39,B777,Boeing 777-300ER,Boeing,Wide,400,2013,Garuda Indonesia,Turbofan,5000,20000,True
9,PK-SAA45,B738,Boeing 737 MAX 8,Boeing,Narrow,177,2011,Garuda Indonesia,Turbofan,7000,26000,True
10,PK-UFD99,B777,Boeing 777-300ER,Boeing,Wide,399,2011,Garuda Indonesia,Turbofan,7000,20000,True
11,PK-SBL77,B777,Boeing 777-300ER,Boeing,Wide,391,2010,Garuda Indonesia,Turbofan,5000,45000,True
12,PK-RNN52,A333,Airbus A330-300,Airbus,Wide,339,2014,Garuda Indonesia,Turbofan,14000,20000,True
13,PK-HZL93,B777,Boeing 777-300ER,Boeing,Wide,393,2021,Garuda Indonesia,Turbofan,7000,26000,True
14,PK-XQR15,B737,Boeing 737-800,Boeing,Narrow,158,2013,Garuda Indonesia,Turbofan,3000,20000,True
15,PK-XAY07,B777,Boeing 777-300ER,Boeing,Wide,391,2012,Lion Air,Turbofan,3000,45000,True
