hotel_property_key,hotel_id,hotel_name,brand,category,star_rating,city,country,currency,local_tax_rate,latitude,longitude,total_rooms,has_pool,has_gym,has_spa,price_range_low_usd,price_range_high_usd,scd_effective_date,scd_expiry_date,scd_current_flag,scd_version
1,HTL00001,Fave Hotel Jakarta,Fave Hotel,Economy,3,Jakarta,Indonesia,IDR,0.065,-6.1989,106.8186,182,True,False,False,40.0,110.0,2022-01-01,9999-12-31,True,1
2,HTL00002,Novotel Jakarta,Novotel,Upper-Mid,4,Jakarta,Indonesia,IDR,0.065,-6.2205,106.864,453,True,True,True,130.0,300.0,2022-01-01,9999-12-31,True,1
3,HTL00003,Fave Hotel Jakarta,Fave Hotel,Economy,3,Jakarta,Indonesia,IDR,0.065,-6.1975,106.8173,449,False,False,False,40.0,110.0,2022-01-01,9999-12-31,True,1
4,HTL00004,Pop! Hotels Jakarta,Pop! Hotels,Budget,2,Jakarta,Indonesia,IDR,0.065,-6.2375,106.8417,429,True,False,False,25.0,65.0,2022-01-01,9999-12-31,True,1
5,HTL00005,Ibis Jakarta,Ibis,Economy,3,Jakarta,Indonesia,IDR,0.065,-6.1641,106.8485,122,True,False,False,50.0,130.0,2022-01-01,9999-12-31,True,1
6,HTL00006,Marriott Surabaya,Marriott,Luxury,5,Surabaya,Indonesia,IDR,0.055,-7.2517,112.7446,217,False,True,True,350.0,800.0,2022-01-01,9999-12-31,True,1
7,HTL00007,Swiss-Belhotel Surabaya,Swiss-Belhotel,Upper-Mid,4,Surabaya,Indonesia,IDR,0.055,-7.2175,112.7627,345,True,True,True,120.0,280.0,2022-01-01,2023-05-31,False,1
8,HTL00007,Swiss-Belhotel Surabaya,Swiss-Belhotel,Upper-Mid,5,Surabaya,Indonesia,IDR,0.055,-7.2175,112.7627,423,True,True,True,138.0,322.0,2023-06-01,9999-12-31,True,2
9,HTL00009,Aston Surabaya,Aston,Mid-Scale,3,Surabaya,Indonesia,IDR,0.055,-7.2327,112.7463,162,True,False,False,70.0,160.0,2022-01-01,9999-12-31,True,1
10,HTL00010,W Hotels Surabaya,W Hotels,Luxury,5,Surabaya,Indonesia,IDR,0.055,-7.3038,112.7044,170,False,True,True,400.0,900.0,2022-01-01,9999-12-31,True,1
11,HTL00011,Fave Hotel Surabaya,Fave Hotel,Economy,3,Surabaya,Indonesia,IDR,0.055,-7.2989,112.7331,403,True,False,False,40.0,110.0,2022-01-01,9999-12-31,True,1
12,HTL00012,Grand Mercure Bali,Grand Mercure,Upper-Mid,4,Bali,Indonesia,IDR,0.07,-8.4394,115.2176,287,True,True,True,140.0,320.0,2022-01-01,9999-12-31,True,1
13,HTL00013,Grand Mercure Bali,Grand Mercure,Upper-Mid,4,Bali,Indonesia,IDR,0.07,-8.377,115.1515,286,False,True,True,140.0,320.0,2022-01-01,2023-05-31,False,1
14,HTL00013,Grand Mercure Bali,Grand Mercure,Upper-Mid,5,Bali,Indonesia,IDR,0.07,-8.377,115.1515,361,False,True,True,161.0,368.0,2023-06-01,9999-12-31,True,2
15,HTL00015,Aston Bali,Aston,Mid-Scale,3,Bali,Indonesia,IDR,0.07,-8.3816,115.1539,387,False,False,False,70.0,160.0,2022-01-01,2023-05-31,False,1
