hotel_id,hotel_name,brand,market_segment,city,star_rating,total_rooms,created_at,updated_at
HTL0001,Swiss-Belhotel Palembang,Swiss-Belhotel,Midscale,Palembang,2,80,2020-02-14 22:18:28,2022-09-14 15:47:38
HTL0002,Marriott Makassar,Marriott,Luxury,Makassar,4,350,2021-02-23 21:39:11,2025-01-27 03:21:17
HTL0003,Amaris Manado,Amaris,Economy,Manado,2,120,2021-05-13 03:44:30,2024-08-30 05:04:00
HTL0004,Swiss-Belhotel London,Swiss-Belhotel,Midscale,London,3,80,2022-10-29 19:03:19,2022-10-29 19:03:19
HTL0005,Aston Surabaya,Aston,Midscale,Surabaya,3,120,2021-12-18 19:22:40,2022-06-15 20:33:00
HTL0006,Swiss-Belhotel Jakarta,Swiss-Belhotel,Midscale,Jakarta,2,120,2020-07-05 22:04:31,2025-04-11 09:24:39
HTL0007,Favehotel Surabaya,Favehotel,Economy,Surabaya,4,200,2021-08-04 03:56:40,2022-09-13 04:42:42
HTL0008,Grand Hyatt Bandung,Grand Hyatt,Luxury,Bandung,4,200,2019-09-22 10:03:05,2019-09-22 10:03:05
HTL0009,Hilton Kuala Lumpur,Hilton,Premium,Kuala Lumpur,4,50,2022-09-14 14:00:14,2022-09-14 14:00:14
HTL0010,Hilton Singapore,Hilton,Premium,Singapore,5,50,2022-11-01 17:29:11,2023-04-16 16:47:41
HTL0011,Hilton Makassar,Hilton,Premium,Makassar,5,80,2022-06-18 21:26:09,2022-06-18 21:26:09
HTL0012,Favehotel Palembang,Favehotel,Economy,Palembang,4,80,2020-02-16 14:34:18,2020-09-29 23:52:53
HTL0013,Amaris Makassar,Amaris,Economy,Makassar,2,120,2022-01-22 19:22:13,2026-05-05 21:37:53
HTL0014,Amaris Dubai,Amaris,Economy,Dubai,4,350,2019-04-25 00:21:35,2019-04-25 00:21:35
HTL0015,Hilton Bangkok,Hilton,Premium,Bangkok,4,80,2021-04-16 13:37:37,2021-04-16 13:37:37
HTL0016,Ibis Styles Denpasar,Ibis Styles,Economy,Denpasar,4,120,2019-12-30 22:32:54,2022-04-28 21:59:53
HTL0017,Amaris Sydney,Amaris,Economy,Sydney,3,80,2020-04-24 12:40:27,2021-08-17 16:52:22
HTL0018,Marriott Kuala Lumpur,Marriott,Luxury,Kuala Lumpur,4,120,2020-08-12 07:37:43,2020-08-12 07:37:43
HTL0019,Novotel Palembang,Novotel,Midscale,Palembang,3,200,2021-03-28 00:13:17,2025-10-16 13:44:00
HTL0020,Swiss-Belhotel London,Swiss-Belhotel,Midscale,London,2,120,2021-01-29 08:51:14,2022-02-04 23:23:18
HTL0021,Swiss-Belhotel Sydney,Swiss-Belhotel,Midscale,Sydney,4,80,2021-06-28 20:29:27,2021-06-28 20:29:27
HTL0022,Ibis Styles Surabaya,Ibis Styles,Economy,Surabaya,4,80,2022-11-09 05:30:22,2024-01-30 12:06:06
HTL0023,Swiss-Belhotel Makassar,Swiss-Belhotel,Midscale,Makassar,3,200,2021-06-16 02:13:56,2021-11-27 17:58:26
HTL0024,Ibis Styles Surabaya,Ibis Styles,Economy,Surabaya,4,120,2021-10-27 02:05:25,2021-10-27 02:05:25
HTL0025,Amaris Kuala Lumpur,Amaris,Economy,Kuala Lumpur,3,120,2019-09-18 02:51:11,2022-08-04 04:16:20
HTL0026,Swiss-Belhotel Hong Kong,Swiss-Belhotel,Midscale,Hong Kong,3,350,2022-06-05 07:28:41,2022-06-05 07:28:41
HTL0027,Amaris Manado,Amaris,Economy,Manado,3,50,2021-02-16 07:25:48,2022-03-27 15:28:41
HTL0028,Aston Tokyo,Aston,Midscale,Tokyo,4,80,2020-08-27 08:03:52,2022-10-27 00:41:28
HTL0029,Ibis Styles Hong Kong,Ibis Styles,Economy,Hong Kong,4,80,2021-05-03 15:16:16,2026-03-12 05:48:56
HTL0030,Swiss-Belhotel London,Swiss-Belhotel,Midscale,London,2,350,2020-12-08 02:35:40,2020-12-15 22:53:26
HTL0031,Favehotel Manado,Favehotel,Economy,Manado,4,200,2019-01-03 23:17:47,2020-11-18 09:23:11
HTL0032,Novotel Makassar,Novotel,Midscale,Makassar,4,350,2021-05-03 13:15:17,2024-04-24 14:12:30
HTL0033,Ibis Styles Manado,Ibis Styles,Economy,Manado,2,350,2019-02-12 18:26:03,2022-07-25 08:20:56
HTL0034,Grand Hyatt Jakarta,Grand Hyatt,Luxury,Jakarta,5,80,2021-05-03 16:52:39,2021-05-03 16:52:39
HTL0035,Marriott London,Marriott,Luxury,London,5,200,2021-03-19 05:26:36,2022-03-06 05:44:40
HTL0036,Aston Denpasar,Aston,Midscale,Denpasar,3,350,2019-09-25 07:15:38,2024-02-04 00:15:50
HTL0037,Hilton Bandung,Hilton,Premium,Bandung,5,350,2020-05-27 11:34:11,2020-05-27 11:34:11
HTL0038,Swiss-Belhotel Denpasar,Swiss-Belhotel,Midscale,Denpasar,3,80,2021-09-08 12:15:40,2025-03-12 07:55:35
HTL0039,Marriott Kuala Lumpur,Marriott,Luxury,Kuala Lumpur,4,50,2020-05-05 18:50:46,2026-03-17 07:36:51
