aircraft_id,registration,aircraft_type,manufacturer,seat_capacity,airline,created_at,updated_at
AC0001,PK-YKE82,Airbus A330-300,Airbus,335,AirAsia Indonesia,2019-06-06 20:55:22,2023-03-27 13:52:32
AC0002,PK-FET44,Airbus A320,Airbus,180,Sriwijaya Air,2021-12-11 16:37:23,2021-12-11 16:37:23
AC0003,PK-XMT05,ATR 72-600,ATR,72,Sriwijaya Air,2020-12-27 09:21:01,2026-05-07 10:27:46
AC0004,PK-MTH73,Airbus A320,Airbus,180,Citilink,2020-01-30 18:40:01,2023-12-26 12:40:35
AC0005,PK-NRP07,Boeing 787-9,Boeing,296,Batik Air,2020-12-11 17:18:04,2020-12-11 17:18:04
AC0006,PK-AOF62,Boeing 737 MAX 8,Boeing,172,Sriwijaya Air,2022-03-03 18:54:56,2022-03-03 18:54:56
AC0007,PK-DBG82,Boeing 787-9,Boeing,296,Garuda Indonesia,2020-07-29 16:34:21,2020-07-29 16:34:21
AC0008,PK-QFQ71,Airbus A330-300,Airbus,335,AirAsia Indonesia,2021-09-19 08:42:38,2023-09-14 15:15:31
AC0009,PK-VQL52,Airbus A321,Airbus,220,Sriwijaya Air,2020-07-16 11:37:12,2024-03-19 11:08:03
AC0010,PK-KMF37,Boeing 737-800,Boeing,162,Garuda Indonesia,2020-08-21 14:03:33,2020-08-21 14:03:33
AC0011,PK-OPW20,Boeing 737 MAX 8,Boeing,172,AirAsia Indonesia,2019-08-18 05:47:33,2025-04-13 01:31:23
AC0012,PK-NMW94,Boeing 737-800,Boeing,162,Lion Air,2020-01-09 13:48:40,2021-05-01 18:43:48
AC0013,PK-GHO48,Boeing 787-9,Boeing,296,Batik Air,2022-04-13 10:12:52,2023-03-28 11:02:09
AC0014,PK-TBD36,Boeing 737-800,Boeing,162,Batik Air,2020-07-11 05:06:48,2023-11-23 20:03:38
AC0015,PK-GBH83,Airbus A320,Airbus,180,Batik Air,2021-05-19 08:08:03,2021-07-04 22:14:54
AC0016,PK-OHX31,ATR 72-600,ATR,72,AirAsia Indonesia,2019-07-05 23:50:42,2022-09-29 16:52:14
AC0017,PK-JGI21,Boeing 737-800,Boeing,162,AirAsia Indonesia,2021-11-06 08:47:49,2021-11-06 08:47:49
AC0018,PK-EAS61,Boeing 777-300ER,Boeing,396,Batik Air,2021-07-22 19:30:35,2022-09-06 09:55:38
AC0019,PK-YYY25,Airbus A321,Airbus,220,Citilink,2020-04-29 20:08:09,2020-04-29 20:08:09
AC0020,PK-LUL16,Airbus A330-300,Airbus,335,Batik Air,2021-04-08 07:58:40,2021-04-08 07:58:40
AC0021,PK-XSB27,Airbus A320,Airbus,180,Lion Air,2020-04-18 18:54:27,2021-10-21 11:02:29
AC0022,PK-WGL99,Airbus A320,Airbus,180,Batik Air,2019-12-03 00:26:23,2019-12-03 00:26:23
AC0023,PK-SMS23,Boeing 737-800,Boeing,162,Garuda Indonesia,2020-01-10 15:21:48,2026-01-12 15:10:29
AC0024,PK-XWN79,Airbus A320,Airbus,180,Citilink,2022-02-17 09:59:09,2023-08-07 17:01:00
AC0025,PK-LCY68,Airbus A321,Airbus,220,Lion Air,2019-03-05 04:47:00,2022-12-04 19:03:36
AC0026,PK-MQO79,ATR 72-600,ATR,72,AirAsia Indonesia,2021-12-27 15:18:54,2022-02-01 04:39:04
AC0027,PK-QXE86,Airbus A330-300,Airbus,335,AirAsia Indonesia,2021-05-14 11:08:25,2024-10-03 21:04:42
AC0028,PK-OTI50,Airbus A330-300,Airbus,335,Batik Air,2020-07-21 13:44:34,2025-05-05 20:18:06
AC0029,PK-NIO10,Airbus A330-300,Airbus,335,Lion Air,2021-06-07 12:12:43,2025-10-04 00:03:23
AC0030,PK-HAX69,Boeing 787-9,Boeing,296,Batik Air,2019-11-25 21:14:47,2025-10-03 09:35:24
AC0031,PK-SNN77,ATR 72-600,ATR,72,Sriwijaya Air,2019-07-24 07:03:32,2020-12-05 23:11:00
AC0032,PK-JGA25,Airbus A320,Airbus,180,Garuda Indonesia,2019-11-25 22:28:04,2019-12-18 23:39:39
AC0033,PK-RIY36,Boeing 737 MAX 8,Boeing,172,Sriwijaya Air,2022-03-14 04:57:10,2022-03-14 04:57:10
AC0034,PK-NGB87,Airbus A321,Airbus,220,Sriwijaya Air,2020-11-25 02:15:09,2023-08-15 17:17:28
AC0035,PK-WFS01,Airbus A321,Airbus,220,Lion Air,2022-05-07 11:37:26,2022-05-07 11:37:26
AC0036,PK-BEA30,Boeing 787-9,Boeing,296,AirAsia Indonesia,2019-03-21 02:30:59,2019-03-21 02:30:59
AC0037,PK-PHN68,Airbus A320,Airbus,180,AirAsia Indonesia,2019-11-19 08:02:11,2020-12-11 11:21:08
AC0038,PK-PCO56,Airbus A330-300,Airbus,335,Sriwijaya Air,2021-08-23 07:44:08,2025-04-07 23:14:31
AC0039,PK-TBO20,Boeing 737-800,Boeing,162,Batik Air,2020-04-05 02:10:11,2020-04-05 02:10:11
AC0040,PK-TPX29,Airbus A321,Airbus,220,AirAsia Indonesia,2021-10-09 22:15:25,2021-10-09 22:15:25
AC0041,PK-GBL76,Boeing 737-800,Boeing,162,Batik Air,2022-04-27 05:51:05,2022-06-08 11:34:40
AC0042,PK-UYN02,Airbus A321,Airbus,220,Batik Air,2020-02-01 05:23:48,2025-08-13 15:03:18
AC0043,PK-SYC98,Airbus A321,Airbus,220,Batik Air,2019-06-07 10:22:09,2019-06-07 10:22:09
AC0044,PK-AVZ76,ATR 72-600,ATR,72,Lion Air,2022-05-02 02:55:49,2022-05-02 02:55:49
AC0045,PK-EOI52,Boeing 737 MAX 8,Boeing,172,Garuda Indonesia,2021-01-17 02:07:30,2021-11-03 00:05:21
AC0046,PK-GKD07,Airbus A330-300,Airbus,335,Batik Air,2021-06-08 03:31:09,2021-06-08 03:31:09
AC0047,PK-SLT72,Boeing 777-300ER,Boeing,396,Citilink,2020-11-23 06:47:09,2024-06-21 21:46:04
AC0048,PK-ZEB24,Boeing 777-300ER,Boeing,396,AirAsia Indonesia,2020-01-18 03:57:29,2025-05-25 18:36:45
AC0049,PK-FQP99,ATR 72-600,ATR,72,Garuda Indonesia,2021-11-28 04:34:26,2022-01-23 02:56:44
AC0050,PK-BCY10,Boeing 787-9,Boeing,296,Batik Air,2021-08-23 22:13:08,2026-02-25 16:11:46
AC0051,PK-BLV28,ATR 72-600,ATR,72,Lion Air,2021-01-23 19:26:59,2023-12-07 03:43:06
AC0052,PK-QSC39,Airbus A330-300,Airbus,335,AirAsia Indonesia,2020-08-04 02:43:12,2022-02-05 22:58:59
AC0053,PK-ZGJ22,Airbus A330-300,Airbus,335,AirAsia Indonesia,2021-04-04 15:59:29,2025-08-17 00:21:20
AC0054,PK-WZI54,Boeing 737 MAX 8,Boeing,172,Lion Air,2019-01-17 03:57:55,2026-05-20 20:49:04
AC0055,PK-VNO52,Boeing 737-800,Boeing,162,Garuda Indonesia,2019-02-05 09:45:18,2020-12-08 18:27:08
AC0056,PK-GEU77,Airbus A320,Airbus,180,Sriwijaya Air,2021-03-19 19:27:42,2022-08-06 13:20:26
AC0057,PK-MOA47,Boeing 787-9,Boeing,296,AirAsia Indonesia,2020-04-11 04:18:28,2021-07-27 04:22:44
AC0058,PK-HLU47,Boeing 737 MAX 8,Boeing,172,Citilink,2019-02-27 08:21:24,2025-06-18 02:57:41
AC0059,PK-ARE11,Boeing 777-300ER,Boeing,396,Sriwijaya Air,2019-10-06 02:57:55,2022-10-26 00:53:48
